Curve,Sta,Length,PI,T1,T2
1,113100,100,723.45,-1.15,0.3
2,113215,130,723.79,,-1.5
3,113430,200,720.57,,-0.91
4,114050,300,714.95,,-3.39
5,114880,840,686.84,,0.5
6,115750,180,691.19,,-0.6
7,116096,180,689.11,,0.47
8,116820,320,691.12,,-1.61
9,117283,500,678.85,,2.34
10,118020,350,696.07,,-0.8
11,118800,210,689.83,,0.5
12,119300,160,692.33,,-0.5
13,119760,160,690.03,,0.5
14,120200,160,692.23,,-0.5
15,120540,160,690.53,,0.5
16,121150,300,693.58,,-0.54
17,121850,500,689.81,,0.3
18,123780,500,695.6,,1.1
19,124620,800,704.84,,-1.4
20,125520,500,692.24,,-0.01
21,130130,500,691.99,,-0.26
22,131030,500,689.75,,0.1
23,134020,300,692.77,,1.7
24,134320,300,697.87,,-0.07
25,134800,300,697.53,,0.2
26,135750,300,699.43,,-0.18
27,136400,300,698.26,,-0.09
28,137930,300,696.89,,-1.16
29,138407,200,691.35,,0.56
30,138890,300,694.04,,-1
31,139190,300,691.04,,1.32
32,139490,300,695.01,,-1.29
33,139820,360,690.74,,0.23
34,140300,400,691.85,,-0.15
35,140700,400,691.25,,0.03
36,141850,300,691.59,,0.25
37,143500,2000,695.72,,-0.3
38,145120,1000,690.86,,0.24
39,146303,200,693.66,,-0.22
40,146536.33,0,693.15,,0.7
41,147150,200,695.11,,0.84
42,147751.22,200,700.16,,0.69
STEQ,148292.43,0,,,
43,180,600,705.17,,0.2
44,2940,500,710.69,,-1.93
45,3661,300,696.78,,-0.75
46,3993,144,696.42,,1.24
47,4065,220,697.31,,2.19
48,4370,390,703.99,,0.2
49,5570,440,706.4,,2.12
50,6850,620,733.5,,4.55
51,7385,450,757.86,,2.77
52,8635,1800,792.5,,-2.87
53,9825,580,758.3,,-4.72
54,10970,1000,704.3,,0.3
55,12600,300,709.19,,0.03
56,14750,450,709.74,,3.08
57,15265,580,725.61,,-0.55
58,17070,600,71.69,,0.9
59,18280,800,726.58,,-1.45
60,19200,600,713.19,,-0.69
61,19960,300,707.94,,0.5
62,20260,300,709.44,,-1.36
63,20560,300,705.35,,1
